id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance
id2875421,2,3/14/16 17:24,3/14/16 17:32,1,-73.98215485,40.76793671,-73.96463013,40.76560211,N,455,0.931137776
id2377394,1,6/12/16 0:43,6/12/16 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,N,663,1.121890426
id3858529,2,1/19/16 11:35,1/19/16 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,N,2124,3.967516454
id3504673,2,4/6/16 19:32,4/6/16 19:39,1,-74.01004028,40.7199707,-74.01226807,40.70671844,N,429,0.923046118
id2181028,2,3/26/16 13:30,3/26/16 13:38,1,-73.97305298,40.79320908,-73.97292328,40.78252029,N,435,0.738555224
id0801584,2,1/30/16 22:01,1/30/16 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,N,443,0.68285102
id1813257,1,6/17/16 22:34,6/17/16 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,N,341,0.824111358
id1324603,2,5/21/16 7:54,5/21/16 8:20,1,-73.96927643,40.79777908,-73.92247009,40.76055908,N,1551,3.551124552
id1301050,1,5/27/16 23:12,5/27/16 23:16,1,-73.9994812,40.73839951,-73.98578644,40.73281479,N,255,0.814215769
id0012891,2,3/10/16 21:45,3/10/16 22:05,1,-73.98104858,40.74433899,-73.97299957,40.78998947,N,1225,3.182142216
id1436371,2,5/10/16 22:08,5/10/16 22:29,1,-73.98265076,40.76383972,-74.00222778,40.73299026,N,1274,2.36502551
id1299289,2,5/15/16 11:16,5/15/16 11:34,4,-73.99153137,40.74943924,-73.95654297,40.77062988,N,1128,2.344492923
id1187965,2,2/19/16 9:52,2/19/16 10:11,2,-73.96298218,40.75667953,-73.98440552,40.7607193,N,1114,1.155429322
id0799785,2,6/1/16 20:58,6/1/16 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,N,260,0.61620422
id2900608,2,5/27/16 0:43,5/27/16 1:07,1,-73.99219513,40.72722626,-73.97465515,40.78306961,N,1414,3.966110202
id3319787,1,5/16/16 15:29,5/16/16 15:32,1,-73.955513,40.76859283,-73.94876099,40.77154541,N,211,0.407978642
id3379579,2,4/11/16 17:29,4/11/16 18:08,1,-73.99116516,40.75556183,-73.99929047,40.72535324,N,2316,2.130114144
id1154431,1,4/14/16 8:48,4/14/16 9:00,1,-73.99425507,40.74580383,-73.99965668,40.7233429,N,731,1.577457068
id3552682,1,6/27/16 9:55,6/27/16 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,N,1317,2.861539267
id3390316,2,6/5/16 13:47,6/5/16 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,N,251,0.809815507
id2070428,1,2/28/16 2:23,2/28/16 2:31,1,-73.98036957,40.7424202,-73.96285248,40.76063538,N,486,1.557110435
id0809232,2,4/1/16 12:12,4/1/16 12:23,1,-73.97953796,40.75336075,-73.96399689,40.76345825,N,652,1.071585362
id2352683,1,4/9/16 3:34,4/9/16 3:41,1,-73.99586487,40.75881195,-73.99332428,40.74032211,N,423,1.284427202
id1603037,1,6/25/16 10:36,6/25/16 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,N,1163,3.029055684
id3321406,2,6/3/16 8:15,6/3/16 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,N,2485,12.80184716
id0129640,2,2/14/16 13:27,2/14/16 13:49,1,-73.95658112,40.77135849,-73.97496796,40.7327919,N,1283,2.833157569
id3587298,1,2/27/16 21:56,2/27/16 22:14,1,-73.98376465,40.74987411,-73.95883179,40.80096054,N,1130,3.763092353
id2104175,1,6/20/16 23:07,6/20/16 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,N,694,2.32314672
id3973319,2,6/13/16 21:57,6/13/16 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,N,892,1.568868794
id1410897,1,3/23/16 14:10,3/23/16 14:49,1,-73.9821167,40.75635147,-73.86569214,40.77098846,N,2331,6.176083617
id0266980,1,5/17/16 10:47,5/17/16 11:12,1,-73.97093964,40.76166916,-73.99623871,40.7253685,N,1479,2.836306833
id2822549,2,5/21/16 13:03,5/21/16 13:20,1,-73.99826813,40.72003937,-74.01036072,40.67213821,N,1048,3.369728838
id3075902,2,5/10/16 19:27,5/10/16 19:44,2,-74.00550079,40.70658875,-73.98581696,40.74420166,N,1022,2.795725272
id0023813,1,4/17/16 14:38,4/17/16 15:16,1,-73.99031067,40.75658035,-73.87091827,40.7739296,N,2269,6.361837903
id3970352,1,1/9/16 12:55,1/9/16 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,N,707,0.890487234
id3361153,1,3/11/16 7:11,3/11/16 7:20,1,-73.99456024,40.75052643,-73.97850037,40.75619125,N,526,0.927232446
id1870624,1,1/5/16 15:29,1/5/16 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,553,0.706121063
id2403238,1,6/23/16 23:00,6/23/16 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,N,277,0.596165538
id3323083,1,5/27/16 14:26,5/27/16 14:46,2,-73.97812653,40.75834274,-73.99224854,40.73054123,N,1189,2.058236234
id3720663,1,5/10/16 16:14,5/10/16 16:40,1,-73.97776794,40.77407837,-73.94714355,40.77599335,N,1523,1.607812568
id0578558,1,4/21/16 21:28,4/21/16 21:52,2,-73.98854828,40.74597931,-73.97088623,40.79338455,N,1450,3.403278881
id2573056,2,4/14/16 13:27,4/14/16 13:46,2,-73.97472382,40.75113678,-73.95444489,40.76411819,N,1102,1.389570652
id2129090,1,3/14/16 14:05,3/14/16 14:28,1,-73.97509003,40.75876617,-73.95320129,40.76506805,N,1346,1.225472151
id3961107,1,3/19/16 1:12,3/19/16 1:18,1,-73.97647095,40.73978043,-73.98066711,40.72996521,N,363,0.712862062
id3326491,2,2/12/16 7:41,2/12/16 7:51,1,-73.97964478,40.73963165,-73.99472809,40.72349548,N,559,1.366258782
id0718344,2,6/13/16 15:52,6/13/16 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,N,1478,5.077350332
id3188770,1,1/3/16 16:59,1/3/16 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,348,0.81675896
id1956279,2,2/26/16 8:37,2/26/16 8:43,1,-73.98165894,40.77897263,-73.96981049,40.79212952,N,375,1.100267888
id2391523,1,5/18/16 21:50,5/18/16 22:10,3,-73.96616364,40.76691437,-73.99217987,40.72581863,N,1217,3.149129753
id2662609,1,4/10/16 19:11,4/10/16 19:25,1,-73.96546936,40.76584625,-73.96095276,40.79692841,N,876,2.160530848
id2067879,2,1/19/16 23:19,1/19/16 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,N,1557,10.77508466
id1939961,1,5/7/16 13:18,5/7/16 13:46,1,-73.97725677,40.77424622,-73.99001312,40.73265457,N,1647,2.950247808
id0675800,2,2/15/16 9:25,2/15/16 9:35,6,-73.97775269,40.75463104,-74.00167847,40.75642014,N,634,1.258322034
id2569332,1,4/13/16 14:24,4/13/16 14:30,1,-73.96872711,40.78643799,-73.960495,40.77815247,N,365,0.71638893
id0526266,2,5/15/16 9:42,5/15/16 9:56,1,-73.93488312,40.80101013,-73.98300171,40.72256851,N,819,5.976246856
id3827863,2,4/19/16 11:29,4/19/16 12:27,3,-73.79289246,40.65787888,-73.80918884,40.69018173,N,3528,2.38970566
id1388344,2,1/2/16 15:41,1/2/16 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,1228,0.969790662
id1079955,1,4/22/16 11:28,4/22/16 12:11,1,-73.99485016,40.71878052,-73.9834137,40.7588501,N,2607,2.832539028
id0256505,1,3/14/16 15:04,3/14/16 15:16,1,-73.99448395,40.74508667,-73.99899292,40.72270966,N,695,1.564020467
id1530524,1,3/19/16 17:41,3/19/16 17:48,1,-73.95342255,40.76765823,-73.98031616,40.73778152,N,472,2.498533265
id1674872,1,2/29/16 2:46,2/29/16 2:55,1,-73.95185089,40.71406937,-73.9679718,40.6887207,N,526,1.944362294
